<<<<<<< HEAD
"Anno","Codice Regione","Descrizione Regione","Codice Azienda","Tipo Azienda","Codice struttura","Denominazione struttura","Indirizzo","Codice Comune","Comune","Sigla provincia","Codice tipo struttura","Descrizione tipo struttura","Tipo di Disciplina","Posti letto degenza ordinaria","Posti letto degenza a pagamento","Posti letto Day Hospital","Posti letto Day Surgery","Totale posti letto"
2010,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99                    ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2011,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99                    ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2012,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99, 1                 ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2013,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99, 1                 ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2014,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99, 1                 ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2015,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99, 1                 ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2016,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99 1                  ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2017,10,"PIEMONTE",203,1,10651,"CASA DI CURA MADONNA DEI BOSCHI         ","VIA RAGAZZI DEL ' 99 1                  ",1045,"BUTTIGLIERA ALTA                        ","TO","5.1","Casa di cura privata accreditata","RIABILITAZIONE",55,0,0,0,55
2010,10,"PIEMONTE",205,1,10882,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO",8,"Istituto qualificato presidio della U.S.L.","ACUTI",48,0,25,5,78
2011,10,"PIEMONTE",205,1,10882,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA ","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO",8,"Istituto qualificato presidio della U.S.L.","ACUTI",68,0,25,5,98
2012,10,"PIEMONTE",205,1,10882,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA ","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO",8,"Istituto qualificato presidio della U.S.L.","ACUTI",66,0,30,4,100
2013,10,"PIEMONTE",205,1,10882,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA ","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO",8,"Istituto qualificato presidio della U.S.L.","ACUTI",66,0,30,4,100
2014,10,"PIEMONTE",922,2,10922,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA ","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO","3.3","IRCCS fondazione","ACUTI",66,0,30,4,100
2015,10,"PIEMONTE",922,2,10922,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA ","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO","3.3","IRCCS fondazione","ACUTI",66,0,30,4,100
2016,10,"PIEMONTE",922,2,10922,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA ","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO","3.3","IRCCS fondazione","ACUTI",66,0,30,4,100
2017,10,"PIEMONTE",922,2,10922,"FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA","STRADA PROVINCIALE 142 DI PIOBESI - NONE",1051,"CANDIOLO                                ","TO","3.2","IRCCS privato","ACUTI",66,0,30,4,100
2010,10,"PIEMONTE",205,1,10661,"L.I.S.A. S.R.L.                         ","VIA RACCONIGI                           ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2011,10,"PIEMONTE",205,1,10661,"L.I.S.A. S.R.L.                         ","VIA RACCONIGI                           ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2012,10,"PIEMONTE",205,1,10661,"L.I.S.A. S.R.L.                         ","VIA RACCONIGI, 8                        ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2013,10,"PIEMONTE",205,1,10661,"POLICLINICO SAN LUCA S.R.L.             ","VIA RACCONIGI, 8                        ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2014,10,"PIEMONTE",205,1,10661,"POLICLINICO SAN LUCA S.R.L.             ","VIA RACCONIGI, 8                        ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2015,10,"PIEMONTE",205,1,10661,"POLICLINICO SAN LUCA S.R.L.             ","VIA RACCONIGI, 8                        ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2016,10,"PIEMONTE",205,1,10661,"POLICLINICO SAN LUCA S.R.L.             ","VIA RACCONIGI 8                         ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2017,10,"PIEMONTE",205,1,10661,"POLICLINICO SAN LUCA S.R.L.             ","VIA RACCONIGI 8                         ",1059,"CARMAGNOLA                              ","TO","5.1","Casa di cura privata accreditata","ACUTI",0,0,0,2,2
2010,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. 8","VIA DE MARIA                            ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",376,0,28,33,437
2010,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. 8","VIA DE MARIA                            ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",16,0,0,0,16
2010,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. 8","VIA DE MARIA                            ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",7,0,7,0,14
2011,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. 8               ","VIA DE MARIA                            ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",376,0,25,36,437
2011,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. 8               ","VIA DE MARIA                            ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",16,0,0,0,16
2011,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. 8               ","VIA DE MARIA                            ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",7,0,7,0,14
2012,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",376,0,25,36,437
2012,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",28,0,0,0,28
2012,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",6,0,7,0,13
2013,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",377,0,26,36,439
2013,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",24,0,0,0,24
2013,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",8,0,7,0,15
2014,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",372,0,25,36,433
2014,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",24,0,0,0,24
2014,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI, 3                ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",8,0,7,0,15
2015,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",354,0,25,33,412
2015,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",24,0,0,0,24
2015,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",10,0,7,0,17
2016,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",350,0,24,33,407
2016,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",20,0,0,0,20
2016,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",10,0,4,0,14
2017,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",319,0,24,25,368
2017,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",20,0,0,0,20
2017,10,"PIEMONTE",205,1,10004,"OSPEDALI RIUNITI A.S.L. TO 5            ","VIA DE MARIA GIOVANNI 3                 ",1078,"CHIERI                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",10,0,4,0,14
2010,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO                ","CORSO FERRARIS GALILEO                  ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",187,0,15,12,214
2011,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO                ","CORSO FERRARIS GALILEO                  ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",189,0,15,12,216
2012,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO                ","CORSO FERRARIS GALILEO, 3               ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",189,0,15,12,216
2013,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO                ","CORSO FERRARIS GALILEO, 3               ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",189,0,15,12,216
2014,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO                ","CORSO FERRARIS GALILEO, 3               ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",175,0,15,12,202
2015,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO","CORSO FERRARIS GALILEO, 3               ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",174,0,15,13,202
2016,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO                ","CORSO FERRARIS GALILEO 3                ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",174,0,15,13,202
2017,10,"PIEMONTE",204,1,10017,"OSPEDALE CIVICO CHIVASSO                ","CORSO FERRARIS GALILEO 3                ",1082,"CHIVASSO                                ","TO",1,"Ospedale a gestione diretta","ACUTI",174,0,15,13,202
2010,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE                           ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",260,0,27,15,302
2010,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE                           ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",25,0,0,0,25
2010,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE                           ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",40,0,0,0,40
2011,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE                           ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",257,0,27,15,299
2011,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE                           ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",25,0,0,0,25
2011,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE                           ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",40,0,0,0,40
2012,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",257,0,27,15,299
2012,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",25,0,0,0,25
2012,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",40,0,0,0,40
2013,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",257,0,27,15,299
2013,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",25,0,0,0,25
2013,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",40,0,0,0,40
2014,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",257,0,27,15,299
2014,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",25,0,0,0,25
2014,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE, 7                        ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",40,0,0,0,40
2015,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE 7/9                       ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","ACUTI",257,0,27,15,299
2015,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE 7/9                       ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","LUNGODEGENZA",25,0,0,0,25
2015,10,"PIEMONTE",204,1,10019,"PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE'  ","VIA BATTITORE 7/9                       ",1086,"CIRIE'                                  ","TO",1,"Ospedale a gestione diretta","RIABILITAZIONE",30,0,0,0,30
