<<<<<<< HEAD
Anno;Codice Regione;Descrizione Regione;Codice disciplina;Descrizione disciplina;Tipo di Disciplina;N° Reparti;Posti letto degenza ordinaria;Posti letto degenza a pagamento;Posti letto Day Hospital;Posti letto Day Surgery;Totale posti letto
2010;010;PIEMONTE;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;54;947;0;64;46;1057
2010;010;PIEMONTE;38;OTORINOLARINGOIATRIA                    ;ACUTI;37;301;0;0;38;339
2010;010;PIEMONTE;39;PEDIATRIA                               ;ACUTI;39;295;0;36;0;331
2010;010;PIEMONTE;40;PSICHIATRIA                             ;ACUTI;33;809;0;23;0;832
2010;010;PIEMONTE;43;UROLOGIA                                ;ACUTI;42;496;0;0;60;556
2010;010;PIEMONTE;46;GRANDI USTIONI PEDIATRICHE              ;ACUTI;1;4;0;0;0;4
2010;010;PIEMONTE;47;GRANDI USTIONATI                        ;ACUTI;1;9;0;0;0;9
2010;010;PIEMONTE;48;NEFROLOGIA (ABILITATO AL TRAPIANTO RENE);ACUTI;3;27;0;0;0;27
2010;010;PIEMONTE;49;TERAPIA INTENSIVA                       ;ACUTI;52;312;0;27;0;339
2010;010;PIEMONTE;50;UNITA` CORONARICA                       ;ACUTI;29;187;0;0;0;187
2010;010;PIEMONTE;51;ASTANTERIA                              ;ACUTI;1;10;0;0;0;10
2010;010;PIEMONTE;52;DERMATOLOGIA                            ;ACUTI;11;52;0;17;0;69
2010;010;PIEMONTE;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;82;2811;0;83;0;2894
2010;010;PIEMONTE;58;GASTROENTEROLOGIA                       ;ACUTI;13;110;0;18;0;128
2010;010;PIEMONTE;60;LUNGODEGENTI                            ;LUNGODEGENZA;47;1336;0;0;0;1336
2010;010;PIEMONTE;61;MEDICINA NUCLEARE                       ;ACUTI;2;7;0;0;0;7
2010;010;PIEMONTE;62;NEONATOLOGIA                            ;ACUTI;22;184;0;4;0;188
2010;010;PIEMONTE;64;ONCOLOGIA                               ;ACUTI;37;205;0;244;0;449
2010;010;PIEMONTE;65;ONCOEMATOLOGIA PEDIATRICA               ;ACUTI;5;17;0;18;0;35
2010;010;PIEMONTE;67;PENSIONANTI                             ;ACUTI;34;151;0;18;29;198
2010;010;PIEMONTE;68;PNEUMOLOGIA                             ;ACUTI;18;234;0;15;0;249
2010;010;PIEMONTE;70;RADIOTERAPIA                            ;ACUTI;4;22;0;7;0;29
2010;010;PIEMONTE;71;REUMATOLOGIA                            ;ACUTI;5;20;0;6;0;26
2010;010;PIEMONTE;73;TERAPIA INTENSIVA NEONATALE             ;ACUTI;18;64;0;0;0;64
2010;010;PIEMONTE;75;NEURO-RIABILITAZIONE                    ;RIABILITAZIONE;9;115;0;25;0;140
2010;010;PIEMONTE;76;NEUROCHIRURGIA PEDIATRICA               ;ACUTI;1;10;0;0;1;11
2010;010;PIEMONTE;77;NEFROLOGIA PEDIATRICA                   ;ACUTI;1;7;0;2;0;9
2010;010;PIEMONTE;78;UROLOGIA PEDIATRICA                     ;ACUTI;3;9;0;0;3;12
2010;010;PIEMONTE;97;DETENUTI                                ;ACUTI;5;25;0;1;1;27
2010;010;PIEMONTE;98;DAY SURGERY;ACUTI;27;0;0;0;267;267
2010;010;PIEMONTE;99;CURE PALLIATIVE/HOSPICE;LUNGODEGENZA;1;0;0;9;0;9
2010;020;VALLE D`AOSTA;08;CARDIOLOGIA                             ;ACUTI;1;20;0;1;0;21
2010;020;VALLE D`AOSTA;09;CHIRURGIA GENERALE                      ;ACUTI;1;26;2;0;3;31
2010;020;VALLE D`AOSTA;10;CHIRURGIA MAXILLO FACCIALE              ;ACUTI;1;2;0;0;0;2
2010;020;VALLE D`AOSTA;13;CHIRURGIA TORACICA                      ;ACUTI;1;8;0;0;2;10
2010;020;VALLE D`AOSTA;14;CHIRURGIA VASCOLARE                     ;ACUTI;1;18;0;0;5;23
2010;020;VALLE D`AOSTA;19;MALATTIE ENDOCRINE DEL RICAMBIO E NUTRIZ;ACUTI;1;0;0;1;0;1
2010;020;VALLE D`AOSTA;21;GERIATRIA                               ;ACUTI;2;43;0;2;0;45
2010;020;VALLE D`AOSTA;24;MALATTIE INFETTIVE E TROPICALI          ;ACUTI;1;7;0;1;0;8
2010;020;VALLE D`AOSTA;26;MEDICINA GENERALE                       ;ACUTI;1;44;0;2;0;46
2010;020;VALLE D`AOSTA;29;NEFROLOGIA                              ;ACUTI;1;6;0;1;0;7
2010;020;VALLE D`AOSTA;32;NEUROLOGIA                              ;ACUTI;1;18;0;2;0;20
2010;020;VALLE D`AOSTA;34;OCULISTICA                              ;ACUTI;1;2;0;0;1;3
2010;020;VALLE D`AOSTA;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;1;37;0;0;1;38
2010;020;VALLE D`AOSTA;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;1;28;0;2;0;30
2010;020;VALLE D`AOSTA;38;OTORINOLARINGOIATRIA                    ;ACUTI;1;11;0;0;1;12
2010;020;VALLE D`AOSTA;39;PEDIATRIA                               ;ACUTI;1;9;0;2;0;11
2010;020;VALLE D`AOSTA;40;PSICHIATRIA                             ;ACUTI;1;15;0;8;0;23
2010;020;VALLE D`AOSTA;43;UROLOGIA                                ;ACUTI;1;18;0;0;2;20
2010;020;VALLE D`AOSTA;49;TERAPIA INTENSIVA                       ;ACUTI;2;8;0;0;2;10
2010;020;VALLE D`AOSTA;50;UNITA` CORONARICA                       ;ACUTI;1;5;0;0;0;5
2010;020;VALLE D`AOSTA;51;ASTANTERIA                              ;ACUTI;2;24;0;0;0;24
2010;020;VALLE D`AOSTA;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;80;0;0;0;80
2010;020;VALLE D`AOSTA;57;FISIOPATOLOGIA DELLA RIPRODUZIONE UMANA ;ACUTI;1;1;0;0;1;2
2010;020;VALLE D`AOSTA;58;GASTROENTEROLOGIA                       ;ACUTI;1;14;0;1;0;15
2010;020;VALLE D`AOSTA;62;NEONATOLOGIA                            ;ACUTI;1;11;0;0;0;11
2010;020;VALLE D`AOSTA;64;ONCOLOGIA                               ;ACUTI;1;13;0;8;0;21
2010;020;VALLE D`AOSTA;68;PNEUMOLOGIA                             ;ACUTI;1;8;0;1;0;9
2010;020;VALLE D`AOSTA;69;RADIOLOGIA                              ;ACUTI;1;0;0;1;0;1
2010;020;VALLE D`AOSTA;99;CURE PALLIATIVE/HOSPICE;LUNGODEGENZA;1;3;0;0;0;3
2010;030;LOMBARDIA;01;ALLERGOLOGIA                            ;ACUTI;2;5;0;9;0;14
2010;030;LOMBARDIA;02;DAY HOSPITAL                            ;ACUTI;10;0;0;94;0;94
2010;030;LOMBARDIA;05;ANGIOLOGIA                              ;ACUTI;1;6;0;0;0;6
2010;030;LOMBARDIA;07;CARDIOCHIRURGIA                         ;ACUTI;22;458;7;8;0;473
2010;030;LOMBARDIA;08;CARDIOLOGIA                             ;ACUTI;88;1673;19;83;0;1775
2010;030;LOMBARDIA;09;CHIRURGIA GENERALE                      ;ACUTI;170;3967;50;90;284;4391
2010;030;LOMBARDIA;10;CHIRURGIA MAXILLO FACCIALE              ;ACUTI;14;160;10;4;23;197
2010;030;LOMBARDIA;11;CHIRURGIA PEDIATRICA                    ;ACUTI;8;104;0;9;11;124
2010;030;LOMBARDIA;12;CHIRURGIA PLASTICA                      ;ACUTI;19;180;1;8;26;215
2010;030;LOMBARDIA;13;CHIRURGIA TORACICA                      ;ACUTI;15;218;6;2;5;231
2010;030;LOMBARDIA;14;CHIRURGIA VASCOLARE                     ;ACUTI;36;479;6;12;33;530
2010;030;LOMBARDIA;18;EMATOLOGIA                              ;ACUTI;19;217;10;94;0;321
2010;030;LOMBARDIA;19;MALATTIE ENDOCRINE DEL RICAMBIO E NUTRIZ;ACUTI;20;54;0;71;0;125
2010;030;LOMBARDIA;20;IMMUNOLOGIA                             ;ACUTI;1;0;0;2;0;2
2010;030;LOMBARDIA;21;GERIATRIA                               ;ACUTI;13;332;0;17;0;349
2010;030;LOMBARDIA;24;MALATTIE INFETTIVE E TROPICALI          ;ACUTI;23;421;0;89;0;510
2010;030;LOMBARDIA;25;MEDICINA DEL LAVORO                     ;ACUTI;5;9;0;15;0;24
2010;030;LOMBARDIA;26;MEDICINA GENERALE                       ;ACUTI;176;5599;42;580;0;6221
2010;030;LOMBARDIA;28;UNITA` SPINALE                          ;RIABILITAZIONE;7;116;0;9;0;125
2010;030;LOMBARDIA;29;NEFROLOGIA                              ;ACUTI;30;354;1;49;0;404
2010;030;LOMBARDIA;30;NEUROCHIRURGIA                          ;ACUTI;25;558;3;9;10;580
2010;030;LOMBARDIA;32;NEUROLOGIA                              ;ACUTI;61;1181;16;100;1;1298
2010;030;LOMBARDIA;33;NEUROPSICHIATRIA INFANTILE              ;ACUTI;11;79;0;26;0;105
2010;030;LOMBARDIA;34;OCULISTICA                              ;ACUTI;69;366;1;78;161;606
2010;030;LOMBARDIA;35;ODONTOIATRIA E STOMATOLOGIA             ;ACUTI;7;7;0;7;10;24
2010;030;LOMBARDIA;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;127;3013;50;65;191;3319
2010;030;LOMBARDIA;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;102;2474;19;126;213;2832
2010;030;LOMBARDIA;38;OTORINOLARINGOIATRIA                    ;ACUTI;59;781;2;21;58;862
2010;030;LOMBARDIA;39;PEDIATRIA                               ;ACUTI;76;1082;19;181;6;1288
2010;030;LOMBARDIA;40;PSICHIATRIA                             ;ACUTI;55;802;1;75;0;878
2010;030;LOMBARDIA;43;UROLOGIA                                ;ACUTI;69;1161;11;43;87;1302
2010;030;LOMBARDIA;47;GRANDI USTIONATI                        ;ACUTI;1;10;0;0;0;10
2010;030;LOMBARDIA;48;NEFROLOGIA (ABILITATO AL TRAPIANTO RENE);ACUTI;8;112;0;15;0;127
2010;030;LOMBARDIA;49;TERAPIA INTENSIVA                       ;ACUTI;104;736;4;15;0;755
2010;030;LOMBARDIA;50;UNITA` CORONARICA                       ;ACUTI;54;319;0;0;0;319
2010;030;LOMBARDIA;51;ASTANTERIA                              ;ACUTI;10;82;0;0;0;82
2010;030;LOMBARDIA;52;DERMATOLOGIA                            ;ACUTI;15;51;0;60;6;117
2010;030;LOMBARDIA;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;159;5537;44;465;0;6046
2010;030;LOMBARDIA;57;FISIOPATOLOGIA DELLA RIPRODUZIONE UMANA ;ACUTI;1;0;0;8;0;8
2010;030;LOMBARDIA;58;GASTROENTEROLOGIA                       ;ACUTI;22;230;11;46;0;287
2010;030;LOMBARDIA;60;LUNGODEGENTI                            ;LUNGODEGENZA;66;875;1;2;0;878
2010;030;LOMBARDIA;61;MEDICINA NUCLEARE                       ;ACUTI;5;41;0;2;0;43
2010;030;LOMBARDIA;62;NEONATOLOGIA                            ;ACUTI;39;439;0;14;0;453
2010;030;LOMBARDIA;64;ONCOLOGIA                               ;ACUTI;55;639;7;400;10;1056
2010;030;LOMBARDIA;65;ONCOEMATOLOGIA PEDIATRICA               ;ACUTI;3;17;0;12;0;29
2010;030;LOMBARDIA;66;ONCOEMATOLOGIA                          ;ACUTI;2;28;0;0;0;28
2010;030;LOMBARDIA;67;PENSIONANTI                             ;ACUTI;14;0;239;0;0;239
2010;030;LOMBARDIA;68;PNEUMOLOGIA                             ;ACUTI;31;691;7;77;0;775
2010;030;LOMBARDIA;69;RADIOLOGIA                              ;ACUTI;2;0;0;3;0;3
2010;030;LOMBARDIA;70;RADIOTERAPIA                            ;ACUTI;8;72;2;15;0;89
2010;030;LOMBARDIA;71;REUMATOLOGIA                            ;ACUTI;8;68;0;29;0;97
2010;030;LOMBARDIA;73;TERAPIA INTENSIVA NEONATALE             ;ACUTI;18;126;0;0;0;126
2010;030;LOMBARDIA;75;NEURO-RIABILITAZIONE                    ;RIABILITAZIONE;22;687;0;77;0;764
2010;030;LOMBARDIA;98;DAY SURGERY;ACUTI;13;0;0;0;132;132
2010;030;LOMBARDIA;99;CURE PALLIATIVE/HOSPICE;LUNGODEGENZA;34;345;0;45;0;390
2010;041;PROV. AUTON. BOLZANO;08;CARDIOLOGIA                             ;ACUTI;2;33;3;1;0;37
2010;041;PROV. AUTON. BOLZANO;09;CHIRURGIA GENERALE                      ;ACUTI;7;193;4;11;19;227
2010;041;PROV. AUTON. BOLZANO;11;CHIRURGIA PEDIATRICA                    ;ACUTI;1;12;3;0;2;17
2010;041;PROV. AUTON. BOLZANO;14;CHIRURGIA VASCOLARE                     ;ACUTI;2;33;3;1;1;38
2010;041;PROV. AUTON. BOLZANO;18;EMATOLOGIA                              ;ACUTI;1;14;0;6;0;20
2010;041;PROV. AUTON. BOLZANO;19;MALATTIE ENDOCRINE DEL RICAMBIO E NUTRIZ;ACUTI;1;0;0;4;0;4
2010;041;PROV. AUTON. BOLZANO;21;GERIATRIA                               ;ACUTI;2;100;0;6;0;106
2010;041;PROV. AUTON. BOLZANO;24;MALATTIE INFETTIVE E TROPICALI          ;ACUTI;1;14;1;1;0;16
2010;041;PROV. AUTON. BOLZANO;26;MEDICINA GENERALE                       ;ACUTI;12;402;0;25;0;427
2010;041;PROV. AUTON. BOLZANO;29;NEFROLOGIA                              ;ACUTI;1;12;0;1;0;13
2010;041;PROV. AUTON. BOLZANO;30;NEUROCHIRURGIA                          ;ACUTI;1;20;1;0;1;22
2010;041;PROV. AUTON. BOLZANO;32;NEUROLOGIA                              ;ACUTI;3;36;0;7;0;43
2010;041;PROV. AUTON. BOLZANO;34;OCULISTICA                              ;ACUTI;3;16;0;0;19;35
2010;041;PROV. AUTON. BOLZANO;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;4;198;3;4;7;212
2010;041;PROV. AUTON. BOLZANO;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;7;146;4;6;17;173
2010;041;PROV. AUTON. BOLZANO;38;OTORINOLARINGOIATRIA                    ;ACUTI;3;47;2;2;4;55
2010;041;PROV. AUTON. BOLZANO;39;PEDIATRIA                               ;ACUTI;7;71;0;15;0;86
2010;041;PROV. AUTON. BOLZANO;40;PSICHIATRIA                             ;ACUTI;4;62;0;8;0;70
2010;041;PROV. AUTON. BOLZANO;43;UROLOGIA                                ;ACUTI;3;56;0;2;3;61
2010;041;PROV. AUTON. BOLZANO;49;TERAPIA INTENSIVA                       ;ACUTI;4;36;0;0;0;36
2010;041;PROV. AUTON. BOLZANO;50;UNITA` CORONARICA                       ;ACUTI;2;13;0;1;0;14
2010;041;PROV. AUTON. BOLZANO;51;ASTANTERIA                              ;ACUTI;1;18;0;0;0;18
2010;041;PROV. AUTON. BOLZANO;52;DERMATOLOGIA                            ;ACUTI;3;20;1;3;1;25
2010;041;PROV. AUTON. BOLZANO;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;7;155;0;9;0;164
2010;041;PROV. AUTON. BOLZANO;58;GASTROENTEROLOGIA                       ;ACUTI;1;22;0;4;0;26
2010;041;PROV. AUTON. BOLZANO;60;LUNGODEGENTI                            ;LUNGODEGENZA;5;139;0;0;0;139
2010;041;PROV. AUTON. BOLZANO;64;ONCOLOGIA                               ;ACUTI;1;0;0;8;0;8
2010;041;PROV. AUTON. BOLZANO;68;PNEUMOLOGIA                             ;ACUTI;1;23;0;1;0;24
2010;041;PROV. AUTON. BOLZANO;73;TERAPIA INTENSIVA NEONATALE             ;ACUTI;1;24;0;1;0;25
2010;041;PROV. AUTON. BOLZANO;75;NEURO-RIABILITAZIONE                    ;RIABILITAZIONE;1;2;0;0;0;2
2010;042;PROV. AUTON. TRENTO;07;CARDIOCHIRURGIA                         ;ACUTI;1;11;0;0;0;11
2010;042;PROV. AUTON. TRENTO;08;CARDIOLOGIA                             ;ACUTI;2;35;0;3;0;38
2010;042;PROV. AUTON. TRENTO;09;CHIRURGIA GENERALE                      ;ACUTI;11;233;0;0;37;270
2010;042;PROV. AUTON. TRENTO;10;CHIRURGIA MAXILLO FACCIALE              ;ACUTI;1;9;0;0;3;12
2010;042;PROV. AUTON. TRENTO;11;CHIRURGIA PEDIATRICA                    ;ACUTI;1;15;0;0;3;18
2010;042;PROV. AUTON. TRENTO;12;CHIRURGIA PLASTICA                      ;ACUTI;1;1;0;0;1;2
2010;042;PROV. AUTON. TRENTO;14;CHIRURGIA VASCOLARE                     ;ACUTI;2;20;0;0;3;23
2010;042;PROV. AUTON. TRENTO;21;GERIATRIA                               ;ACUTI;4;150;0;8;0;158
2010;042;PROV. AUTON. TRENTO;24;MALATTIE INFETTIVE E TROPICALI          ;ACUTI;2;22;0;6;0;28
2010;042;PROV. AUTON. TRENTO;26;MEDICINA GENERALE                       ;ACUTI;12;480;0;35;0;515
2010;042;PROV. AUTON. TRENTO;30;NEUROCHIRURGIA                          ;ACUTI;1;4;0;0;0;4
2010;042;PROV. AUTON. TRENTO;32;NEUROLOGIA                              ;ACUTI;2;47;0;3;0;50
2010;042;PROV. AUTON. TRENTO;34;OCULISTICA                              ;ACUTI;2;12;0;0;26;38
2010;042;PROV. AUTON. TRENTO;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;5;107;0;0;14;121
2010;042;PROV. AUTON. TRENTO;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;7;150;0;0;20;170
2010;042;PROV. AUTON. TRENTO;38;OTORINOLARINGOIATRIA                    ;ACUTI;2;36;0;0;4;40
2010;042;PROV. AUTON. TRENTO;39;PEDIATRIA                               ;ACUTI;4;42;0;7;0;49
2010;042;PROV. AUTON. TRENTO;40;PSICHIATRIA                             ;ACUTI;3;47;0;0;0;47
2010;042;PROV. AUTON. TRENTO;43;UROLOGIA                                ;ACUTI;1;33;0;0;3;36
2010;042;PROV. AUTON. TRENTO;48;NEFROLOGIA (ABILITATO AL TRAPIANTO RENE);ACUTI;1;20;0;4;0;24
2010;042;PROV. AUTON. TRENTO;49;TERAPIA INTENSIVA                       ;ACUTI;2;20;0;0;0;20
2010;042;PROV. AUTON. TRENTO;50;UNITA` CORONARICA                       ;ACUTI;2;14;0;0;0;14
2010;042;PROV. AUTON. TRENTO;52;DERMATOLOGIA                            ;ACUTI;1;14;0;2;0;16
2010;042;PROV. AUTON. TRENTO;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;13;340;0;76;0;416
2010;042;PROV. AUTON. TRENTO;58;GASTROENTEROLOGIA                       ;ACUTI;1;6;0;0;2;8
2010;042;PROV. AUTON. TRENTO;60;LUNGODEGENTI                            ;LUNGODEGENZA;7;216;0;0;0;216
2010;042;PROV. AUTON. TRENTO;62;NEONATOLOGIA                            ;ACUTI;1;11;0;1;0;12
2010;042;PROV. AUTON. TRENTO;64;ONCOLOGIA                               ;ACUTI;1;18;0;5;0;23
2010;042;PROV. AUTON. TRENTO;68;PNEUMOLOGIA                             ;ACUTI;3;39;0;5;0;44
2010;042;PROV. AUTON. TRENTO;71;REUMATOLOGIA                            ;ACUTI;1;6;0;0;0;6
2010;042;PROV. AUTON. TRENTO;73;TERAPIA INTENSIVA NEONATALE             ;ACUTI;1;8;0;0;0;8
2010;042;PROV. AUTON. TRENTO;74;RADIOTERAPIA ONCOLOGICA                 ;ACUTI;1;21;0;0;0;21
2010;042;PROV. AUTON. TRENTO;75;NEURO-RIABILITAZIONE                    ;RIABILITAZIONE;1;25;0;0;0;25
2010;050;VENETO;01;ALLERGOLOGIA                            ;ACUTI;1;0;0;1;0;1
2010;050;VENETO;02;DAY HOSPITAL                            ;ACUTI;2;0;0;13;0;13
2010;050;VENETO;05;ANGIOLOGIA                              ;ACUTI;1;2;0;2;0;4
2010;050;VENETO;06;CARDIOCHIRURGIA PEDIATRICA              ;ACUTI;1;6;0;0;0;6
2010;050;VENETO;07;CARDIOCHIRURGIA                         ;ACUTI;5;134;1;3;0;138
2010;050;VENETO;08;CARDIOLOGIA                             ;ACUTI;35;555;14;55;8;632
2010;050;VENETO;09;CHIRURGIA GENERALE                      ;ACUTI;71;1745;52;96;187;2080
2010;050;VENETO;10;CHIRURGIA MAXILLO FACCIALE              ;ACUTI;9;54;2;11;9;76
2010;050;VENETO;11;CHIRURGIA PEDIATRICA                    ;ACUTI;4;42;0;9;2;53
2010;050;VENETO;12;CHIRURGIA PLASTICA                      ;ACUTI;5;83;1;9;3;96
2010;050;VENETO;13;CHIRURGIA TORACICA                      ;ACUTI;3;48;2;2;0;52
2010;050;VENETO;14;CHIRURGIA VASCOLARE                     ;ACUTI;12;147;1;10;8;166
2010;050;VENETO;15;MEDICINA SPORTIVA                       ;ACUTI;1;1;0;1;0;2
2010;050;VENETO;18;EMATOLOGIA                              ;ACUTI;6;95;3;29;0;127
2010;050;VENETO;19;MALATTIE ENDOCRINE DEL RICAMBIO E NUTRIZ;ACUTI;6;52;0;9;0;61
2010;050;VENETO;21;GERIATRIA                               ;ACUTI;31;1028;10;41;0;1079
2010;050;VENETO;24;MALATTIE INFETTIVE E TROPICALI          ;ACUTI;11;164;2;27;0;193
2010;050;VENETO;25;MEDICINA DEL LAVORO                     ;ACUTI;2;3;0;2;0;5
2010;050;VENETO;26;MEDICINA GENERALE                       ;ACUTI;73;2798;49;161;0;3008
2010;050;VENETO;28;UNITA` SPINALE                          ;RIABILITAZIONE;7;104;0;5;0;109
2010;050;VENETO;29;NEFROLOGIA                              ;ACUTI;17;129;4;9;0;142
2010;050;VENETO;30;NEUROCHIRURGIA                          ;ACUTI;8;244;1;7;1;253
2010;050;VENETO;32;NEUROLOGIA                              ;ACUTI;29;557;11;30;0;598
2010;050;VENETO;33;NEUROPSICHIATRIA INFANTILE              ;ACUTI;1;5;0;1;0;6
2010;050;VENETO;34;OCULISTICA                              ;ACUTI;30;85;5;41;69;200
2010;050;VENETO;35;ODONTOIATRIA E STOMATOLOGIA             ;ACUTI;2;1;0;1;0;2
2010;050;VENETO;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;55;1453;37;58;143;1691
2010;050;VENETO;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;47;1180;27;65;94;1366
2010;050;VENETO;38;OTORINOLARINGOIATRIA                    ;ACUTI;32;353;13;40;55;461
2010;050;VENETO;39;PEDIATRIA                               ;ACUTI;36;456;8;54;1;519
2010;050;VENETO;40;PSICHIATRIA                             ;ACUTI;41;874;3;54;0;931
2010;050;VENETO;43;UROLOGIA                                ;ACUTI;31;457;16;44;62;579
2010;050;VENETO;47;GRANDI USTIONATI                        ;ACUTI;2;15;0;0;0;15
2010;050;VENETO;48;NEFROLOGIA (ABILITATO AL TRAPIANTO RENE);ACUTI;3;62;0;2;0;64
2010;050;VENETO;49;TERAPIA INTENSIVA                       ;ACUTI;58;450;0;8;2;460
2010;050;VENETO;50;UNITA` CORONARICA                       ;ACUTI;26;191;0;1;0;192
2010;050;VENETO;51;ASTANTERIA                              ;ACUTI;1;24;0;0;0;24
2010;050;VENETO;52;DERMATOLOGIA                            ;ACUTI;9;26;1;21;1;49
2010;050;VENETO;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;55;1463;6;143;0;1612
2010;050;VENETO;58;GASTROENTEROLOGIA                       ;ACUTI;15;149;0;23;5;177
2010;050;VENETO;60;LUNGODEGENTI                            ;LUNGODEGENZA;42;984;13;8;0;1005
2010;050;VENETO;62;NEONATOLOGIA                            ;ACUTI;15;78;0;0;0;78
2010;050;VENETO;64;ONCOLOGIA                               ;ACUTI;31;142;2;191;0;335
2010;050;VENETO;65;ONCOEMATOLOGIA PEDIATRICA               ;ACUTI;2;33;0;12;0;45
2010;050;VENETO;67;PENSIONANTI                             ;ACUTI;2;0;48;0;0;48
2010;050;VENETO;68;PNEUMOLOGIA                             ;ACUTI;16;274;4;12;0;290
2010;050;VENETO;70;RADIOTERAPIA                            ;ACUTI;7;67;1;22;0;90
2010;050;VENETO;71;REUMATOLOGIA                            ;ACUTI;2;24;2;2;0;28
2010;050;VENETO;73;TERAPIA INTENSIVA NEONATALE             ;ACUTI;12;114;0;2;0;116
2010;050;VENETO;75;NEURO-RIABILITAZIONE                    ;RIABILITAZIONE;3;65;0;50;0;115
2010;050;VENETO;77;NEFROLOGIA PEDIATRICA                   ;ACUTI;1;10;0;5;0;15
2010;050;VENETO;98;DAY SURGERY;ACUTI;1;0;0;0;16;16
2010;050;VENETO;99;CURE PALLIATIVE/HOSPICE;LUNGODEGENZA;1;3;0;1;0;4
2010;060;FRIULI VENEZIA GIULIA;02;DAY HOSPITAL                            ;ACUTI;1;0;0;4;0;4
2010;060;FRIULI VENEZIA GIULIA;07;CARDIOCHIRURGIA                         ;ACUTI;2;68;2;2;0;72
2010;060;FRIULI VENEZIA GIULIA;08;CARDIOLOGIA                             ;ACUTI;6;120;4;8;0;132
2010;060;FRIULI VENEZIA GIULIA;09;CHIRURGIA GENERALE                      ;ACUTI;22;565;26;72;4;667
